num,csa,tpop13,male13,female13,paa13,pwhite13,pasi13,p2more13,ppac13,phisp13,racdiv13,age5_13,age18_13,age24_13,age64_13,age65_13,hhs13,femhhs13,fam13,hhsize13,mhhi13,hh25inc13,hh40inc13,hh60inc13,hh75inc13,hhm7513,gini13,hhpov13,hhchpov13,salepr13,dom13,shomes13,ownroc13,fore13,vacant13,vio13,resrehab13,totalres13,cashsa13,reosa13,,demper13,constper13,baltvac13,affordm13,affordr13,hista13X,homta13X,ownta13X,nomail13,crime13,,viol13,prop13,domvio13,juvarr13,juvviol13,juvdrug13,shoot13,gunhom13,caslt13,narc13,caracc13,,,,eattend13,mattend13,hsattend13,,aastud13,wstud13,hstud13,abse13,absmd13,abshs13,susp13,farms13,sped13,,ready13,math313,read313,math513,read513,math813,read813,hsaeng13,hsabio13,hsagov13,hsaalg13,drop13,compl13,,sclsw13,,,,sclemp13,teenbir13,termbir13,birthwt13,prenatal13,leadtest13,ebll13,leadv13,tanf13,,,liquor13,fastfd13,,,,lifexp13,mort1_13,mort14_13,mort24_13,mort44_13,mort64_13,mort84_13,mort85_13,,,,,,,libcard13,,,artbus13,artemp13,,empl13,unempl13,nilf13,unempr13,lesshs13,somecol13,bahigh13,comprop13,crehab13,numbus13,totemp13,smlbus13,wrkout13,,,banks13,biz1_13,biz2_13,biz4_13,prbprl13,,,,neiind13,neibus13,neiemp13,regvote13,voted13,dirtyst13,clogged13,drvalone13,carpool13,pubtran13,walked13,trav14_13,trav29_13,trav44_13,trav45_13,trees13,,,cmos13,waterc13,,,,,,heatgas13,elheat13,novhcl13,,weather13,wlksc13,,,,,bkln13,,othrcom13,eenrol13,menrol13,hsenrol13,hfai13,treeplnt13
1,Allendale/Irvington/S. Hilton,,,,,,,,,,,,,,,,,,,,38129.0733,32.3628,19.1216,16.3357,14.0394,18.1404,,17.6677,34.9553,"$31,806 ",57,74,60.2909,3.2866,5.2443,3.4842,1.5984,5568,78.78787879,8.333333333,,1.98,0,1.7,44.08906883,53.14926661,0,501.4367816,71.30028736,9.02101,47.29604736,,12.64105568,33.91502744,,,,,,0.369982118,,,,,,,939,593,844,,93.36,3.75,1.86,16.6134,14.6712,35.6635,7.617845118,87.78767632,18.11432814,,88.17,64.81,63.58,59.69,77.49,37.22,60.44,27.5261324,30.3030303,38.52459016,20.87227414,2.014218009,82.68156425,,6.734006734,,,,79.09715407,38.22629969,84.38,85.26785714,47.32142857,336,0,,11.06094808,,,0.616636863,0.801627921,,,,71.3,14.1,1.9,14.9,29.6,102.3,336.1,1065.3,,,,,,,185.5460319,,,0,0,,60.33082118,13.19369678,26.47548204,17.94462194,23.65985149,64.61194182,11.72820669,281,9.964412811,281,2795,269,,,,0,3.914590747,19.21708185,39.85765125,6.208371022,,,,173,10.66781772,1467,,,36.99821175,5.858050194,63.91325939,12.31584175,19.61595762,2.681675219,12.49793081,40.25823539,24.54891574,22.69491806,,,,,,,,,,,65.96587972,21.97139411,28.77821816,,0.359195402,,,,,,,,1.473266016,920,572,807,,349
2,Beechfield/Ten Hills/West Hills,,,,,,,,,,,,,,,,,,,,49807.8618,20.5381,18.9627,22.5257,10.4531,27.5203,,10.69,19.1835,"$139,500 ",53,62,80.7724,2.973,0.4168,1.4448,2.3618,3599,29.03225806,3.225806452,,0.56,6.11,6.7,42.27171492,45.89810017,0.555709919,585.1625452,60.0166713,2.40178,36.04044357,,6.441617743,28.70189172,,,,,,0,,,,,,,606,379,507,,94.47,2.88,1.53,12.0462,10.0264,23.6686,4.892761394,79.12992357,14.28571429,,82.35,76.99,73.45,71.91,82.02,42.86,75.24,44.57142857,50.28248588,53.93258427,33.52941176,1.183431953,89.25619835,,5.428954424,,,,76.40692641,29.41176471,83.66,85.62091503,49.01960784,301,0,,4.846938776,,,0.081539465,0.733855186,,,,75.4,14.7,0.9,12.9,13.8,71.5,268.4,904.8,,,,,,,140.4109589,,,0.081539465,4,,62.84140464,10.75281157,26.4057838,14.64291296,12.74366472,63.40155945,23.85477583,46,19.56521739,174,1378,166,,,,0.081539465,5.747126437,19.54022989,36.20689655,3.673036093,,,,100,8.15394651,673,,,10.19243314,5.952380952,75.34883721,11.05116279,11.34883721,1.693023256,11.14418605,49.33953488,23.81395349,15.70232558,,,,,,,,,,,76.01178782,15.16699411,18.84086444,,0.333425952,,,,,,,,0.558139535,580,365,490,,123
3,Belair-Edison,,,,,,,,,,,,,,,,,,,,43903.9013,28.4481,17.7979,19.0573,11.1832,23.5135,,16.2384,30.3351,"$45,100 ",39,117,63.479,4.6545,2.5417,2.5099,1.5091,6295,67.74193548,6.451612903,,0,0,0,41.05823234,66.57381616,0,443.3677522,57.66481334,9.76773,57.36104731,,12.34497014,43.2935232,,,,,,0.459347726,,,,,,,1149,714,1117,,96.13,1.42,1.56,16.275,8.8235,34.4673,9.832214765,86.01357333,16.46503393,,75.31,60,57.73,59.91,70.93,38.6,60.79,30.59490085,36.25304136,41.93548387,21.34570766,2.327663384,82.18623482,,7.852348993,,,,80.27522936,33.78378378,84.06,86.95652174,44.92753623,,,,10.09195402,,,0.516766192,0.861276987,,,,72.1,14.3,1.7,15,22.3,86.5,278.4,1574.8,,,,,,,261.3114378,,,0.172255397,26,,61.87320136,11.91244441,26.21435423,16.19634811,18.67621084,65.95705122,15.36673794,164,6.707317073,258,1540,245,,,,0.114836932,4.651162791,16.27906977,39.92248062,6.838414874,,,,183,10.45016077,896,,,65.91639871,5.052824989,69.65575861,9.038107381,17.5520612,2.620767814,9.661425131,37.5973934,32.58251877,20.1586627,,,,,,,,,,,69.86231515,15.21332653,27.7409485,,0.63542494,,,,,,,,1.133305001,1114,701,1080,,222
4,Brooklyn/Curtis Bay/Hawkins Point,,,,,,,,,,,,,,,,,,,,34419.9653,35.9578,20.1269,17.378,12.2561,14.2811,,28.7389,46.7419,"$45,000 ",51,77,45.6297,3.6184,5.4511,4.1353,1.0338,4256,76.85950413,0.826446281,,0.47,0.47,3.9,36.14551084,51.21202823,0,305.6860902,52.86654135,9.87973,61.29326687,,16.07807344,43.74078495,,,,,,0.140419855,,,,,,,1050,512,519,,55.76,30.31,11.92,19.1429,25.3906,39.3064,11.38875541,90.4589372,18.15619968,,70.85,68.85,62.01,60.25,64.81,26.06,60.28,38.46153846,46.15384615,58.97435897,28.83435583,5.009633911,74.7826087,,8.313310908,,,,85.39898132,52.00945626,87.05,86.33093525,43.88489209,115,0,,14.7716825,,,1.263778698,0.91272906,,,,69.5,10.2,3.1,11.5,27.2,114.8,378.3,1376,,,,,,,187.1094573,,,0.210629783,6,,54.64177598,14.70232089,30.65590313,21.20197905,34.84499945,59.06451966,6.090480885,828,7.246376812,528,6643,493,,,,0.140419855,5.303030303,23.48484848,41.85606061,8.647058824,,,,259,18.18437127,1850,,,65.99733202,4.423225444,52.03985712,17.74769694,21.80861064,4.831735289,21.05658958,29.27241963,28.78360594,20.88738485,,,,,,,,,,,68.21568627,27.37254902,33.33333333,,0.352443609,,,,,,,,3.572100019,972,480,482,,163
5,Canton,,,,,,,,,,,,,,,,,,,,90862.7129,9.2911,7.7859,13.0154,11.9724,57.9352,,3.0685,7.9284,"$285,500 ",17,244,68.3648,1.3668,0.5716,0.8201,6.4861,4024,15.46052632,0.657894737,,0,0.75,0,32.86985539,35.24930748,31.31212724,321.0735586,43.9860835,5.57425,56.41975309,,6.913580247,49.13580247,,,,,,0,,,,,,,84,39,29,,16.4,54.5,25.4,5.9524,12.8205,34.4828,5.263157895,67.72486772,10.58201058,,96,80,80,83.33,83.33,60,80,60,37.5,25,42.85714286,0,80,,5.921052632,,,,100,46.51162791,92.73,95.45454545,66.36363636,129,0,,0.58224163,,,4.320987654,1.234567901,,,,77.3,1.8,0,8.8,2.8,57.4,310.6,1065.8,,,,,,,169.382716,,,0.12345679,1,,83.65532045,4.001839926,12.34283962,4.574132492,7.354521726,28.98817749,63.65730078,207,9.661835749,400,2906,384,,,,0.24691358,5.25,24.5,42.25,1.062981664,,,,288,35.55555556,2261,,,43.7037037,6.543209877,78.88059701,6.940298507,4.962686567,5.503731343,18.5261194,42.29477612,27.70522388,11.4738806,,,,,,,,,,,64.24898512,31.33964817,10.1217862,,0,,,,,,,,3.712686567,79,35,28,,91
6,Cedonia/Frankford,,,,,,,,,,,,,,,,,,,,38117.933,31.4051,20.0723,16.9116,10.8218,20.7892,,21.0802,30.2403,"$97,250 ",39,132,75.2464,4.1494,1.2878,1.7647,2.7027,6290,40.19138756,6.698564593,,0.64,0.16,1.2,48.25788752,60.1308569,0,528.1399046,72.0190779,6.11521,52.17132912,,11.80116314,39.52116144,,,,,,0.042450227,,,,,,,1379,749,1210,,86.91,3.8,1.88,8.9195,7.3431,30,5.572198922,82.53251925,16.00743297,,84.87,63.14,59.84,72.38,71.31,42.41,65,29.42528736,35.82089552,35.07109005,21.64948454,1.73553719,81.84818482,,7.130017975,,,,94.02356902,45.50625711,87.83,91.39465875,48.66468843,287,0,,7.889200561,,,0.59430318,0.933904996,,,,72.2,14.4,2.3,9.1,22.8,79.8,374.3,1184,,,,,,,186.2291463,,,0.212251136,11,,64.79901051,10.24737168,24.95361781,13.66259894,17.93297184,69.35389038,12.71313778,231,7.792207792,451,2859,439,,,,0.127350681,6.873614191,19.06873614,39.46784922,5.121142279,,,,316,13.41427177,1952,,,17.78664516,3.650719531,68.0030546,12.23749523,17.73577701,1.298205422,10.41428026,40.3207331,27.48186331,21.78312333,,,,,,,,,,,74.01809473,18.09473124,27.20596062,,0.683624801,,,,,,,,0.725467736,1319,716,1162,,112
7,Cherry Hill,,,,,,,,,,,,,,,,,,,,23918.7076,47.756,23.0056,14.2741,6.0801,8.8843,,40.2111,54.5455,"$34,850 ",36,2,52.2358,1.9309,4.065,3.3537,0.4065,984,76.47058824,0,,0,0,5,36.29893238,44.17942328,0,470.5284553,74.18699187,4.31933,50.59741526,,16.21555718,33.16264326,,,,,,0.365764448,,,,,,,830,452,530,,96.38,0.99,1.97,18.6747,18.3628,43.9623,10.48565121,94.08450704,17.69953052,,84.76,72.73,65.24,54.33,61.11,31.97,47.15,26.37362637,25.28735632,37.73584906,27.27272727,2.264150943,77.31092437,,9.657836645,,,,83.77952756,74.92795389,84.62,83.97435897,47.43589744,149,0,,21.3313897,,,0.121921483,0.975371861,,,,69.3,17.4,2.5,16.1,33.8,113.4,363.6,1269.2,,,,,,,279.687881,,,0.243842965,12,,50.79423716,14.22238641,34.98337643,21.875,23.24875298,69.37757536,7.373671655,93,11.82795699,161,1498,150,,,,0,3.105590062,19.25465839,36.64596273,7.546454304,,,,108,13.16752012,669,,,7.193367471,4.75493782,40.56913535,20.94126231,34.69536665,3.538854433,15.76067129,36.51951842,20.75884714,26.96096315,,,,,,,,,,,67.55934267,27.02373707,52.52586732,,2.032520325,,,,,,,,0.255381248,805,444,519,,101
8,Chinquapin Park/Belvedere,,,,,,,,,,,,,,,,,,,,47600.4899,26.9051,16.692,18.9729,10.9957,26.4343,,13.4686,27.1263,"$125,000 ",45,55,70.4723,2.6404,1.0041,2.9007,2.1941,2689,43.83561644,5.479452055,,0,0.37,3.7,34.30604982,60.50314465,0,481.9635552,62.47675716,4.84963,42.80556988,,9.154203198,32.87777205,,,,,,0.128932439,,,,,,,362,203,307,,91.3,5.04,1.68,10.4972,12.8079,28.3388,7.224770642,75.29644269,15.2173913,,84.34,77.03,71.62,79.45,90.41,44.44,66.67,39.21568627,41.96428571,60.46511628,20.47244094,0.651465798,86.58536585,,5.963302752,,,,95.03239741,16.87763713,89.32,91.26213592,54.36893204,105,0,,5.597416577,,,1.289324394,0.773594636,,,,75,11.8,0,12.5,13.7,85.9,256.5,1458.8,,,,,,,218.2826199,,,0.128932439,2,,73.14851485,9.207920792,17.64356436,11.20751988,11.3363674,54.24079437,34.42283823,56,28.57142857,172,1305,164,,,,0.386797318,6.395348837,22.6744186,37.79069767,4.244509997,,,,123,15.47189273,963,,,25.528623,3.867973182,67.81453362,10.98156182,16.16052061,2.169197397,18.89913232,35.73752711,24.24078091,21.12255965,,,,,,,,,,,66.0761736,24.26926484,24.53498671,,0.483451097,,,,,,,,2.874186551,352,196,299,,146
9,Claremont/Armistead,,,,,,,,,,,,,,,,,,,,32827.8242,41.627,19.9661,16.191,4.6174,17.5986,,15.7813,31.1803,"$97,000 ",108,7,74.4681,2.9255,0.5319,3.0585,7.5798,752,56.25,0,,0,6.65,0,34.85113835,51.91956124,0,432.1808511,57.18085106,4.15187,50.05467136,,7.896974851,41.67172883,,,,,,0,,,,,,,671,312,369,,57.39,17.38,23.19,11.9225,8.9744,38.4824,4.142011834,88.9301175,13.79097093,,84.03,87.9,78.51,83.78,82.73,46.74,66.28,27.48091603,35.03649635,47.69230769,20.63492063,1.35501355,76.82926829,,5.029585799,,,,81.03837472,48.87218045,83.33,84.21052632,47.36842105,155,0,,6.95952616,,,1.093427287,1.093427287,,,,72.5,4.9,0,6.7,16.9,110.2,380,1170.7,,,,,,,145.3043373,,,0.242983842,14,,62.32006774,10.95681626,26.723116,14.95262306,25.07374631,63.88274336,11.04351032,186,10.75268817,214,2713,196,,,,0,4.672897196,18.69158879,36.91588785,4.549227959,,,,84,10.20532135,938,,,16.27991739,2.915806099,61.71680927,11.8962186,22.13635109,2.539332045,15.23599227,26.24896495,34.36378692,24.15125587,,,,,,,,,,,80.93722881,16.6039919,27.856523,,0.265957447,,,,,,,,1.711288987,645,295,354,,144
10,Clifton-Berea,,,,,,,,,,,,,,,,,,,,25586.8391,48.0089,21.9792,14.6918,7.5817,7.7384,,21.4984,33.5929,"$24,000 ",50,40,33.4533,1.7785,25.0688,13.953,1.588,4723,87.03703704,7.407407407,,2.75,0,15.4,52.5107604,54.18240691,0,113.4871903,29.64217658,10.70812,57.11970832,,15.39396395,40.2066032,,,,,,0.607656472,,,,,,,772,421,555,,98.38,0.64,0.54,16.1917,16.3895,43.4234,8.981693364,92.97297297,16.26535627,,79.04,57.43,54.73,51.54,65.15,19.85,47.37,17.5257732,26.5625,33.33333333,18.94273128,3.603603604,71.31782946,,10.98398169,,,,74.29718876,51.41388175,82.22,81.48148148,42.22222222,,,,24.07326646,,,1.924245493,1.4178651,,,,66.8,17.8,3.1,24,48.7,146,335.3,1227.1,,,,,,,220.7818513,,,0.101276079,1,,44.86295314,9.991158267,45.14588859,18.24346141,27.37375388,65.41918614,7.207059977,149,8.724832215,162,1282,149,,,,0,9.259259259,20.37037037,30.86419753,10.8754758,,,,118,11.95057727,614,,,107.6564715,15.39396395,47.1411902,13.18553092,34.11124076,2.528199144,16.02489304,32.08868145,29.36600545,22.52042007,,,,,,,,,,,66.56644618,17.58869513,47.05351774,,0.254075799,,,,,,,,3.033838973,741,407,541,,45
